id,name,category,price,description,sales,shop_name
1,真无线降噪蓝牙耳机,数码,199.0,蓝牙5.3，主动降噪，30小时续航，IPX7防水,5200,小米官方旗舰店,
2,2024夏季纯棉T恤男,男装,49.9,100%纯棉，多色可选，透气亲肤，简约百搭,3400,优衣库官方店,
3,苹果iPhone15 Pro,手机,7999.0,A17 Pro芯片，钛金属边框，4800万像素，灵动岛,1890,Apple官方旗舰店,
4,家用全自动咖啡机,家电,899.0,20bar高压萃取，一键卡布奇诺，可拆卸水箱,2100,德龙电器旗舰店,
5,运动跑步鞋女,女鞋,159.0,网面透气，轻便缓震，防滑耐磨，多色可选,6700,安踏官方店,
6,大容量充电宝20000mAh,数码,89.0,双向快充，数显电量，可上飞机，轻薄便携,9800,罗马仕旗舰店,
7,儿童积木玩具益智,母婴,129.0,大颗粒积木，环保材质，兼容乐高，培养创造力,3100,乐高官方旗舰店,
8,不锈钢不粘锅炒锅,厨具,79.0,无涂层，轻烟不粘，燃气电磁炉通用,4200,苏泊尔官方店,
9,男士电动剃须刀,个护,159.0,浮动三刀头，Type-C充电，全身水洗，续航60分钟,5600,飞科官方旗舰店,
10,便携折叠户外桌椅,运动户外,129.0,铝合金桌面，牛津布椅，承重150kg，收纳方便,1950,探险者户外旗舰店,
11,妙界R3至尊版肩颈按摩仪,个护,404.0,揉捏脖子腰背部颈椎按摩器斜方肌热敷披肩,1950,妙界旗舰店,
